folder,id,file
reconnaissance,SENT-RECON-0001,detections/sentinel/reconnaissance/external-network-scanner-execution.yml
reconnaissance,SENT-RECON-0002,detections/sentinel/reconnaissance/whoami-and-net-enumeration-burst.yml
reconnaissance,SENT-RECON-0003,detections/sentinel/reconnaissance/external-lookup-tool-usage.yml
resource-development,SENT-RESDEV-0001,detections/sentinel/resource-development/suspicious-azure-ad-application-registration.yml
resource-development,SENT-RESDEV-0002,detections/sentinel/resource-development/bulk-mailbox-or-rule-creation.yml
resource-development,SENT-RESDEV-0003,detections/sentinel/resource-development/user-click-spike-to-suspicious-domain.yml
initial-access,SENT-INIT-0001,detections/sentinel/initial-access/multiple-user-device-code-sign-ins.yml
initial-access,SENT-INIT-0002,detections/sentinel/initial-access/suspicious-external-remote-service-sign-in.yml
initial-access,SENT-INIT-0003,detections/sentinel/initial-access/potential-spearphishing-attachment-execution.yml
execution,SENT-EXEC-0001,detections/sentinel/execution/powershell-encoded-command-execution.yml
execution,SENT-EXEC-0002,detections/sentinel/execution/mshta-launching-script-or-powershell.yml
execution,SENT-EXEC-0003,detections/sentinel/execution/powershell-script-dropped-to-temp.yml
persistence,SENT-PERS-0001,detections/sentinel/persistence/registry-run-key-modification.yml
persistence,SENT-PERS-0002,detections/sentinel/persistence/suspicious-scheduled-task-creation.yml
persistence,SENT-PERS-0003,detections/sentinel/persistence/service-binary-path-hijack.yml
privilege-escalation,SENT-PRIVESC-0001,detections/sentinel/privilege-escalation/event-viewer-uac-bypass-registry-hijack.yml
privilege-escalation,SENT-PRIVESC-0002,detections/sentinel/privilege-escalation/suspicious-token-manipulation-or-sedebug-use.yml
privilege-escalation,SENT-PRIVESC-0003,detections/sentinel/privilege-escalation/suspicious-service-creation-for-elevation.yml
defense-evasion,SENT-DEFEV-0001,detections/sentinel/defense-evasion/powershell-script-block-logging-disabled.yml
defense-evasion,SENT-DEFEV-0002,detections/sentinel/defense-evasion/security-tool-disable-attempt.yml
defense-evasion,SENT-DEFEV-0003,detections/sentinel/defense-evasion/clear-windows-event-logs.yml
credential-access,SENT-CRED-0001,detections/sentinel/credential-access/potential-ntlm-enumeration-via-failed-logons.yml
credential-access,SENT-CRED-0002,detections/sentinel/credential-access/potential-lsass-memory-dump.yml
credential-access,SENT-CRED-0003,detections/sentinel/credential-access/suspicious-browser-credential-store-access.yml
discovery,SENT-DISC-0001,detections/sentinel/discovery/net-group-and-domain-trust-discovery.yml
discovery,SENT-DISC-0002,detections/sentinel/discovery/system-and-network-configuration-discovery.yml
discovery,SENT-DISC-0003,detections/sentinel/discovery/ldap-enumeration-using-powershell.yml
lateral-movement,SENT-LAT-0001,detections/sentinel/lateral-movement/remote-service-creation.yml
lateral-movement,SENT-LAT-0002,detections/sentinel/lateral-movement/remote-scheduled-task-creation.yml
lateral-movement,SENT-LAT-0003,detections/sentinel/lateral-movement/wmi-remote-process-execution.yml
collection,SENT-COLL-0001,detections/sentinel/collection/clipboard-data-collection.yml
collection,SENT-COLL-0002,detections/sentinel/collection/mass-file-enumeration-in-user-data-paths.yml
collection,SENT-COLL-0003,detections/sentinel/collection/screen-capture-utility-execution.yml
command-and-control,SENT-C2-0001,detections/sentinel/command-and-control/dns-tunneling-behavior.yml
command-and-control,SENT-C2-0002,detections/sentinel/command-and-control/powershell-or-lolbin-external-network-traffic.yml
command-and-control,SENT-C2-0003,detections/sentinel/command-and-control/suspicious-web-download-via-certutil-or-bitsadmin.yml
exfiltration,SENT-EXFIL-0001,detections/sentinel/exfiltration/powershell-email-exfiltration-with-attachments.yml
exfiltration,SENT-EXFIL-0002,detections/sentinel/exfiltration/archive-creation-followed-by-external-transfer.yml
exfiltration,SENT-EXFIL-0003,detections/sentinel/exfiltration/onedrive-or-cloud-storage-bulk-upload-spike.yml
impact,SENT-IMPACT-0001,detections/sentinel/impact/volume-shadow-copy-deletion.yml
impact,SENT-IMPACT-0002,detections/sentinel/impact/mass-file-rename-or-encryption-burst.yml
impact,SENT-IMPACT-0003,detections/sentinel/impact/boot-configuration-or-recovery-tampering.yml
